Made3s,Player,Team,Season,Playoffs
9,Klay Thompson,Golden State Warriors,2017-18,True
9,Kemba Walker,Charlotte Hornets,2017-18,False
9,Damian Lillard,Portland Trail Blazers,2017-18,False
9,Damian Lillard,Portland Trail Blazers,2016-17,False
9,Stephen Curry,Golden State Warriors,2016-17,False
9,Damian Lillard,Portland Trail Blazers,2016-17,False
9,Yogi Ferrell,Dallas Mavericks,2016-17,False
9,Stephen Curry,Golden State Warriors,2016-17,False
9,James Harden,Houston Rockets,2016-17,False
9,Isaiah Thomas,Boston Celtics,2016-17,False
9,Stephen Curry,Golden State Warriors,2015-16,False
9,Klay Thompson,Golden State Warriors,2015-16,False
9,Nikola Mirotic,Chicago Bulls,2015-16,False
9,Damian Lillard,Portland Trail Blazers,2015-16,False
9,J.J. Redick,Los Angeles Clippers,2015-16,False
9,Omri Casspi,Sacramento Kings,2015-16,False
9,Stephen Curry,Golden State Warriors,2015-16,False
9,Stephen Curry,Golden State Warriors,2015-16,False
9,Jodie Meeks,Detroit Pistons,2014-15,False
9,J.R. Smith,New York Knicks,2013-14,False
9,Jeremy Lin,Houston Rockets,2013-14,False
9,Stephen Curry,Golden State Warriors,2013-14,False
9,Stephen Curry,Golden State Warriors,2012-13,False
9,Carmelo Anthony,New York Knicks,2012-13,False
9,Caron Butler,Los Angeles Clippers,2012-13,False
9,Paul George,Indiana Pacers,2012-13,False
9,Ben Gordon,Detroit Pistons,2011-12,False
9,Jason Richardson,Orlando Magic,2011-12,False
9,Nicolas Batum,Portland Trail Blazers,2011-12,False
9,Jason Terry,Dallas Mavericks,2010-11,True
9,Channing Frye,Phoenix Suns,2010-11,False
9,Toney Douglas,New York Knicks,2010-11,False
9,J.R. Smith,Denver Nuggets,2010-11,False
9,Dorell Wright,Golden State Warriors,2010-11,False
9,Rodrigue Beaubois,Dallas Mavericks,2009-10,False
9,Chauncey Billups,Denver Nuggets,2009-10,False
9,Ray Allen,Boston Celtics,2008-09,True
9,Ricky Davis,Miami Heat,2007-08,False
9,Kobe Bryant,Los Angeles Lakers,2007-08,False
9,Mike Bibby,Sacramento Kings,2006-07,False
9,Mike Miller,Memphis Grizzlies,2006-07,False
9,Mike Miller,Memphis Grizzlies,2006-07,False
9,Vince Carter,New Jersey Nets,2006-07,False
9,Ben Gordon,Chicago Bulls,2005-06,False
9,Ben Gordon,Chicago Bulls,2005-06,False
9,Kobe Bryant,Los Angeles Lakers,2004-05,False
9,Quentin Richardson,Phoenix Suns,2004-05,False
9,Kobe Bryant,Los Angeles Lakers,2002-03,False
9,Latrell Sprewell,New York Knicks,2002-03,False
9,Antoine Walker,Boston Celtics,2002-03,False
9,Michael Redd,Milwaukee Bucks,2001-02,False
9,Latrell Sprewell,New York Knicks,2001-02,False
9,Ray Allen,Milwaukee Bucks,2000-01,True
9,Vince Carter,Toronto Raptors,2000-01,True
9,Antoine Walker,Boston Celtics,2000-01,False
9,Dan Majerle,Miami Heat,1999-00,False
9,Dee Brown,Toronto Raptors,1998-99,False
9,John Starks,New York Knicks,1997-98,False
9,Chuck Person,San Antonio Spurs,1997-98,False
9,Dennis Scott,Dallas Mavericks,1997-98,False
9,Rex Chapman,Phoenix Suns,1996-97,True
9,Steve Smith,Atlanta Hawks,1996-97,False
9,Rex Chapman,Miami Heat,1995-96,False
9,Robert Horry,Houston Rockets,1995-96,False
9,Nick Anderson,Orlando Magic,1995-96,False
9,Mahmoud Abdul-Rauf,Denver Nuggets,1995-96,False
9,Dana Barros,Philadelphia 76ers,1994-95,False
9,Dennis Scott,Orlando Magic,1992-93,False
9,Michael Adams,Denver Nuggets,1990-91,False
9,Dale Ellis,Seattle Supersonics,1989-90,False
